 ,15-19 aar,20-24 aar,25-29 aar,30-34 aar,35-39 aar,40-44 aar,45-49 aar,Antal,Percent
Koebenhavn,13691,36512,48379,38007,25917,20349,19696,202551,15.69327033
Frederiksberg,2380,5031,6066,4908,3260,3055,3330,28030,2.171711654
Dragoer,441,192,134,287,430,499,558,2541,0.196871898
Taarnby,1350,953,888,1303,1516,1581,1674,9265,0.717834766
Albertslund,891,924,815,845,873,854,954,6156,0.476955296
Ballerup,1488,1388,1370,1679,1719,1536,1699,10879,0.842884448
Broendby,1155,1314,1414,1468,1296,1182,1237,9066,0.70241662
Gentofte,2713,1613,1655,1852,2088,2333,2776,15030,1.164496117
Gladsaxe,2072,1964,2174,2323,2422,2417,2401,15773,1.222062359
Glostrup,540,709,738,903,783,719,734,5126,0.397152834
Herlev,901,787,851,955,991,1023,1036,6544,0.507016806
Hvidovre,1565,1531,1503,1702,1924,1919,1897,12041,0.932914022
Hoeje-Taastrup,1584,1755,2186,2244,2040,1796,1833,13438,1.041150953
Ishoej,709,740,771,852,825,768,777,5442,0.421635919
Lyngby-Taarbaek,1769,1969,1663,1592,1698,1804,1955,12450,0.964602572
Roedovre,1244,1206,1453,1710,1596,1533,1436,10178,0.788572287
Vallensbaek,543,503,486,651,647,629,605,4064,0.314871073
Alleroed,917,402,311,666,804,846,947,4893,0.379100433
Egedal,1506,811,773,1498,1443,1399,1713,9143,0.708382435
Fredensborg,1296,769,741,1138,1287,1240,1426,7897,0.6118447
Frederikssund,1460,875,871,1257,1159,1248,1528,8398,0.650661237
Furesoe,1400,692,588,1082,1369,1454,1551,8136,0.63036197
Gribskov,1184,683,726,946,961,1031,1308,6839,0.529872851
Halsnaes,859,561,556,753,788,812,1036,5365,0.415670104
Helsingoer,1961,1341,1215,1640,1696,1649,2052,11554,0.895182178
Hilleroed,1761,1423,1431,1678,1664,1594,1810,11361,0.880228901
Hoersholm,812,368,366,489,592,697,852,4176,0.323548622
Rudersdal,1965,1077,873,1207,1700,1684,2008,10514,0.814604935
Bornholm,983,585,719,939,943,963,1192,6324,0.48997162
Christiansoe,2,0,0,1,4,3,4,14,0.001084694
Greve,1624,1089,1039,1616,1627,1578,1825,10398,0.805617473
Koege,1917,1453,1592,1925,1868,1745,2090,12590,0.975449509
Lejre,967,534,452,792,883,906,1019,5553,0.430235991
Roskilde,3082,2714,2324,2509,2493,2629,3189,18940,1.46743556
Solroed,833,467,452,759,808,796,891,5006,0.38785546
Faxe,1045,688,829,1069,1045,1017,1235,6928,0.536768403
Guldborgsund,1530,1231,1301,1518,1435,1553,1789,10357,0.802440871
Holbaek,2341,1649,1721,2142,2173,2019,2474,14519,1.124904799
Kalundborg,1398,958,1063,1202,1207,1308,1532,8668,0.671580329
Lolland,981,673,730,851,909,973,1153,6270,0.485787801
Naestved,2632,2130,2223,2423,2300,2375,2838,16921,1.311007239
Odsherred,792,526,507,735,664,736,932,4892,0.379022954
Ringsted,1105,884,980,1134,1072,1057,1277,7509,0.58178319
Slagelse,2225,2228,2432,2381,2033,2182,2536,16017,1.24096702
Soroe,942,518,601,886,895,887,1059,5788,0.448443348
Stevns,639,370,398,600,624,666,728,4025,0.311849426
Vordingborg,1259,873,894,996,1072,1078,1379,7551,0.585037271
Assens,1185,747,779,1050,1091,1111,1363,7326,0.567604694
Faaborg-Midtfyn,1568,847,1027,1486,1450,1433,1641,9452,0.732323174
Kerteminde,662,416,448,644,623,614,767,4174,0.323393666
Langeland,244,157,175,197,272,297,301,1643,0.127296548
Middelfart,1224,737,822,1145,997,1053,1399,7377,0.571556078
Nordfyns,909,515,606,778,743,839,1011,5401,0.418459317
Nyborg,1066,590,648,861,863,833,1080,5941,0.4602975
Odense,5842,10770,10405,7554,5910,5206,5968,51655,4.002132198
Svendborg,1762,1283,1244,1620,1688,1674,1916,11187,0.866747709
aeroe,133,81,59,98,109,130,141,751,0.058186067
Billund,836,585,608,726,817,832,864,5268,0.408154727
Esbjerg,3267,3138,3319,3618,3174,3136,3424,23076,1.787885057
Fanoe,83,38,27,45,69,80,104,446,0.034555241
Fredericia,1540,1284,1346,1541,1485,1514,1726,10436,0.808561642
Haderslev,1725,1261,1205,1475,1443,1595,1703,10407,0.806314777
Kolding,3081,2624,2832,2962,2794,2717,3307,20317,1.574122928
Soenderborg,2225,1546,1478,1933,1895,1946,2288,13311,1.031311232
Toender,1085,718,734,892,945,896,1006,6276,0.48625267
Varde,1431,1028,1113,1382,1319,1337,1493,9103,0.70528331
Vejen,1349,871,1014,1161,1201,1272,1426,8294,0.642603513
Vejle,3799,3178,3335,4042,3777,3546,4082,25759,1.995758848
Aabenraa,1865,1205,1259,1516,1484,1634,1811,10774,0.834749246
Favrskov,1736,819,866,1554,1495,1576,1804,9850,0.763159465
Hedensted,1490,875,999,1376,1317,1412,1615,9084,0.703811226
Horsens,2909,2806,2878,3434,2994,2946,3224,21191,1.641838804
Norddjurs,1104,712,810,992,874,898,1068,6458,0.500353688
Odder,719,435,402,642,668,665,796,4327,0.335247818
Randers,2999,2651,2982,3143,2836,2810,3332,20753,1.607903388
Samsoe,55,29,39,72,67,82,107,451,0.034942631
Silkeborg,3203,2289,2519,3571,3002,2872,3342,20798,1.611389903
Skanderborg,2165,1072,999,2018,2337,2152,2377,13120,1.016512911
Syddjurs,1226,726,675,1190,1217,1221,1356,7611,0.589685958
Aarhus,9102,24647,23665,14147,10513,9487,9397,100958,7.822035862
Herning,2889,2398,2343,2727,2529,2527,2872,18285,1.416687392
Holstebro,1884,1678,1578,1772,1642,1658,1818,12030,0.932061762
Ikast-Brande,1360,901,974,1252,1266,1295,1359,8407,0.65135854
Lemvig,569,378,329,410,432,437,588,3143,0.243513726
Ringkoebing-Skjern,2001,1196,1179,1421,1433,1490,1710,10430,0.808096773
Skive,1397,982,920,1092,1169,1092,1312,7964,0.617035734
Struer,734,403,402,471,451,523,620,3604,0.279231138
Viborg,3341,2256,2404,2850,2690,2834,3230,19605,1.518958508
Broenderslev,1189,597,818,1138,1009,1010,1228,6989,0.541494568
Frederikshavn,1566,1007,1109,1396,1434,1452,1763,9727,0.753629656
Hjoerring,1847,1320,1487,1696,1584,1674,1921,11529,0.893245225
Jammerbugt,1143,674,761,1015,1048,1011,1149,6801,0.526928682
Laesoe,31,23,29,25,21,25,50,204,0.015805536
Mariagerfjord,1194,758,935,1165,1036,1051,1302,7441,0.576514678
Morsoe,584,426,392,511,430,484,511,3338,0.258621959
Rebild,968,459,605,1049,1016,863,1049,6009,0.465566013
Thisted,1339,884,930,1150,1102,1051,1236,7692,0.595961686
Vesthimmerlands,1078,677,733,984,977,942,1089,6480,0.502058206
Aalborg,5863,10885,10072,7732,6124,5882,6356,52914,4.099677149